ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
4046,101,ตรัง - สิเกา,9+479,"2,775","2,442",2,0,26,"4,779",799,776,702,554,"12,855",22.23,5,"4,085",ขท.ตรัง,ตรัง
4046,102,ถนนเลี่ยงเมืองสิเกา,32+879,"1,436","1,039",43,39,52,"1,626",233,153,82,56,"4,759",12.92,14,842,ขท.ตรัง,ตรัง
4046,200,สิเกา - ควนกุน,41+865,"1,975","1,765",47,12,17,"1,731",56,70,39,47,"5,759",4.19,4,"1,729",ขท.กระบี่,ตรัง
4047,100,ลำปำ - พัทลุง,4+560,"2,028","2,327",99,96,16,"1,503",133,24,1,1,"6,228",4.35,53,"2,718",ขท.พัทลุง,พัทลุง
4048,100,สี่แยกช่องโก - ทุ่งข่า,2+100,"5,094","4,712","1,179",446,103,"2,772",111,67,41,49,"14,574",5.61,66,"4,947",ขท.พัทลุง,พัทลุง
4049,100,ห้วยทราย - ปากพะยูน,18+200,805,200,19,1,1,"1,655",162,109,26,14,"2,992",10.46,6,"2,181",ขท.พัทลุง,พัทลุง
4051,100,สตูล - เจ๊ะบิลัง,1+000,"1,175","1,031",32,15,3,"2,938",195,111,69,26,"5,595",7.49,116,"2,835",ขท.สตูล,สตูล
4052,100,เขาขาว - ท่าเรือปากบารา,3+663,"4,324","3,799",55,43,13,"3,716",236,137,86,26,"12,435",4.35,129,"6,432",ขท.สตูล,สตูล
4053,100,ควนเนียง - ปากบาง,2+300,789,637,159,9,13,350,94,55,4,3,"2,113",8.42,38,"1,358",ขท.สตูล,สงขลา
4054,100,สะเดา - มาเลเซีย (เขตแดนไทย/มาเลเซีย),6+000,"2,637","1,440",195,166,46,"3,529",321,195,97,971,"9,597",18.71,23,"2,661",ขท.สงขลาที่ 2 (นาหม่อม),สงขลา
